Time, Line Coverage (%), , , , Branch Coverage (%), , , 
, Randoop, Orienteering, ConstantMining, DigDog, Randoop, Orienteering, ConstantMining, DigDog,
50, 17.600000, 29.080000, 22.780000, 28.290000, 10.410000, 18.390000, 13.710000, 18.450000,
100, 21.900000, 36.740000, 28.560000, 34.430000, 13.490000, 24.220000, 18.030000, 22.430000,
150, 24.530000, 39.280000, 32.520000, 36.580000, 15.280000, 26.040000, 20.920000, 23.950000,
200, 25.730000, 40.020000, 33.810000, 39.670000, 16.230000, 26.790000, 21.830000, 26.730000,
250, 27.860000, 42.720000, 37.880000, 40.000000, 17.790000, 28.820000, 24.920000, 27.120000,
300, 28.030000, 45.680000, 40.740000, 39.410000, 17.850000, 31.260000, 27.100000, 27.350000,
350, 29.060000, 44.080000, 40.040000, 42.110000, 18.610000, 30.440000, 26.740000, 29.320000,
400, 28.220000, 43.740000, 41.790000, 42.410000, 18.050000, 30.520000, 27.990000, 29.450000,
450, 29.790000, 40.890000, 41.520000, 43.180000, 19.300000, 28.620000, 27.790000, 30.420000,
500, 29.890000, 42.910000, 43.850000, 45.570000, 19.460000, 30.350000, 30.100000, 32.220000,
550, 28.370000, 46.560000, 39.890000, 47.760000, 18.550000, 32.510000, 27.470000, 34.170000,
