
Operation History:
Operation                                                                                                                                            	ERROR_SEQUENCE	REGRESSION_SEQUENCE	NO_INPUTS_FOUND	REMOVED	SUBSUMED	SEQUENCE_DISCARDED
java.lang.Object.<init>()                                                                                                                            	             0	                  0	              0	      1	       0	                 0
java.lang.Object.getClass(java.lang.Object)                                                                                                          	             0	                  1	              0	      0	       0	                 0
java.lang.Throwable.addSuppressed(java.lang.Throwable, java.lang.Throwable)                                                                          	             0	                  1	              0	      0	       1	                 0
java.lang.Throwable.getSuppressed(java.lang.Throwable)                                                                                               	             0	                  0	              1	      0	       1	                 1
org.apache.commons.cli.AlreadySelectedException.<init>(java.lang.String)                                                                             	             0	                  0	              0	      0	       1	                 0
org.apache.commons.cli.AlreadySelectedException.<init>(org.apache.commons.cli.OptionGroup, org.apache.commons.cli.Option)                            	             0	                  1	              0	      0	       0	                 2
org.apache.commons.cli.AlreadySelectedException.getOption(org.apache.commons.cli.AlreadySelectedException)                                           	             0	                  1	              0	      0	       0	                 0
org.apache.commons.cli.BasicParser.<init>()                                                                                                          	             0	                  0	              0	      1	       1	                 0
org.apache.commons.cli.BasicParser.flatten(org.apache.commons.cli.BasicParser, org.apache.commons.cli.Options, java.lang.String[], boolean)          	             0	                  1	              0	      0	       0	                 0
org.apache.commons.cli.CommandLine.addOption(org.apache.commons.cli.CommandLine, org.apache.commons.cli.Option)                                      	             0	                  0	              1	      0	       0	                 0
org.apache.commons.cli.CommandLine.getArgList(org.apache.commons.cli.CommandLine)                                                                    	             0	                  0	              1	      0	       0	                 0
org.apache.commons.cli.CommandLine.getArgs(org.apache.commons.cli.CommandLine)                                                                       	             0	                  0	              1	      0	       0	                 0
org.apache.commons.cli.CommandLine.getOptionObject(org.apache.commons.cli.CommandLine, char)                                                         	             0	                  0	              1	      0	       0	                 0
org.apache.commons.cli.CommandLine.getOptionObject(org.apache.commons.cli.CommandLine, java.lang.String)                                             	             0	                  0	              1	      0	       0	                 0
org.apache.commons.cli.CommandLine.getOptionValues(org.apache.commons.cli.CommandLine, java.lang.String)                                             	             0	                  0	              1	      0	       0	                 0
org.apache.commons.cli.CommandLine.getOptions(org.apache.commons.cli.CommandLine)                                                                    	             0	                  0	              1	      0	       0	                 0
org.apache.commons.cli.CommandLine.getParsedOptionValue(org.apache.commons.cli.CommandLine, java.lang.String)                                        	             0	                  0	              1	      0	       0	                 0
org.apache.commons.cli.CommandLine.iterator(org.apache.commons.cli.CommandLine)                                                                      	             0	                  0	              4	      0	       0	                 0
org.apache.commons.cli.CommandLine.resolveOption(org.apache.commons.cli.CommandLine, java.lang.String)                                               	             0	                  0	              2	      0	       0	                 0
org.apache.commons.cli.CommandLineParser.parse(org.apache.commons.cli.CommandLineParser, org.apache.commons.cli.Options, java.lang.String[])         	             0	                  2	              0	      0	       0	                 0
org.apache.commons.cli.Parser.parse(org.apache.commons.cli.Parser, org.apache.commons.cli.Options, java.lang.String[])                               	             0	                  2	              1	      0	       0	                 0
org.apache.commons.cli.Parser.parse(org.apache.commons.cli.Parser, org.apache.commons.cli.Options, java.lang.String[], boolean)                      	             0	                  0	              1	      0	       0	                 0
org.apache.commons.cli.Parser.parse(org.apache.commons.cli.Parser, org.apache.commons.cli.Options, java.lang.String[], java.util.Properties)         	             0	                  3	              0	      0	       0	                 0
org.apache.commons.cli.Parser.parse(org.apache.commons.cli.Parser, org.apache.commons.cli.Options, java.lang.String[], java.util.Properties, boolean)	             0	                  1	              0	      0	       0	                 0
