sizeOfStructs,weightedAddAvgListResults (ns),weightedRandomAvgListResults (ns),weightedUpdateAvgListResults (ns),weightedAddAvgTreeResults (nsec),weightedRandomAvgTreeResults (ns),weightedUpdateAvgTreeResults (ns)
1.0,96.18,14428.03,63.29,66.38,152.46,75.93
2.0,3064.32,3229.69,1365.13,1798.54,227.06,829.8
4.0,1733.58,4981.54,4314.49,5406.3,1849.29,1662.82
8.0,2875.4,4258.77,9102.67,4349.57,3503.18,5111.15
16.0,1369.6,2470.81,10993.42,4464.38,2506.75,5426.92
32.0,5378.71,10006.89,12240.19,14102.72,8386.88,3221.28
64.0,3941.65,13495.29,45432.01,23320.81,23595.85,6183.51
128.0,8272.26,19848.27,137938.38,26284.84,19543.78,3694.34
256.0,5129.57,18828.17,342187.99,22811.79,45207.53,8983.88
512.0,10270.18,45311.56,1619166.36,45043.28,102312.62,14030.23
1024.0,20520.99,104780.94,6349964.21,90621.01,217034.04,26824.88
2048.0,35051.17,203835.93,1.865471521E7,184305.19,486254.62,68401.33
4096.0,67338.75,465615.58,7.416363587E7,505052.67,1095357.27,142606.82
8192.0,149296.91,1115707.65,3.2413380714E8,1169280.26,2480817.28,313473.44
16384.0,368205.0,2626767.9,1.26936779779E9,1965261.69,5466153.82,662081.1
32768.0,623533.27,6050634.08,5.05047671503E9,4094896.2,1.180441367E7,1404220.54
65536.0,1084896.48,1.388909107E7,2.048357917214E10,1.076052624E7,2.791265052E7,3068349.9

sizeOfStructs,weightedAddAvgListResults (sec),weightedRandomAvgListResults (sec),weightedUpdateAvgListResults (sec),weightedAddAvgTreeResults (sec),weightedRandomAvgTreeResults (sec),weightedUpdateAvgTreeResults (sec)
1.0,9.618E-8,1.442803E-5,6.328999999999999E-8,6.637999999999999E-8,1.5246E-7,7.593E-8
2.0,3.06432E-6,3.22969E-6,1.36513E-6,1.79854E-6,2.2706E-7,8.298E-7
4.0,1.7335799999999999E-6,4.98154E-6,4.31449E-6,5.4063E-6,1.84929E-6,1.66282E-6
8.0,2.8754E-6,4.25877E-6,9.10267E-6,4.349569999999999E-6,3.5031799999999996E-6,5.111149999999999E-6
16.0,1.3696E-6,2.47081E-6,1.099342E-5,4.46438E-6,2.50675E-6,5.42692E-6
32.0,5.37871E-6,1.000689E-5,1.2240190000000001E-5,1.410272E-5,8.38688E-6,3.2212800000000003E-6
64.0,3.94165E-6,1.349529E-5,4.543201E-5,2.3320810000000003E-5,2.359585E-5,6.18351E-6
128.0,8.272260000000001E-6,1.984827E-5,1.3793838E-4,2.628484E-5,1.954378E-5,3.69434E-6
256.0,5.12957E-6,1.882817E-5,3.4218799E-4,2.281179E-5,4.520753E-5,8.983879999999999E-6
512.0,1.027018E-5,4.531156E-5,0.00161916636,4.504328E-5,1.0231262E-4,1.403023E-5
1024.0,2.052099E-5,1.0478094000000001E-4,0.00634996421,9.062101E-5,2.1703404E-4,2.682488E-5
2048.0,3.505117E-5,2.0383593E-4,0.018654715210000002,1.8430519E-4,4.8625462E-4,6.840133000000001E-5
4096.0,6.733875E-5,4.6561558E-4,0.07416363587000001,5.0505267E-4,0.00109535727,1.4260682E-4
8192.0,1.4929691E-4,0.0011157076499999999,0.32413380714,0.00116928026,0.00248081728,3.1347344E-4
16384.0,3.68205E-4,0.0026267678999999998,1.26936779779,0.00196526169,0.005466153820000001,6.620810999999999E-4
32768.0,6.2353327E-4,0.00605063408,5.050476715029999,0.0040948962,0.01180441367,0.00140422054
65536.0,0.00108489648,0.01388909107,20.48357917214,0.01076052624,0.02791265052,0.0030683499
