sizeOfStructs,weightedAddAvgListResults,weightedRandomAvgListResults,weightedUpdateAvgListResults,weightedAddAvgTreeResults,weightedRandomAvgTreeResults,weightedUpdateAvgTreeResults,Logs of runtime,sizeOfStructs,weightedAddAvgListResults,weightedRandomAvgListResults,weightedUpdateAvgListResults,weightedAddAvgTreeResults,weightedRandomAvgTreeResults,weightedUpdateAvgTreeResults
1,43.9,19891.9,29.26,32.14,111.16,23.39,,1,1.64246452,4.298676267,1.466274322,1.507045872,2.045948538,1.369030222
2,980.12,1576.96,877.68,1459.9,155.04,438.88,,2,2.991279251,3.197820677,2.943336202,3.164323109,2.19044376,2.64234579
4,1187.82,2162.1,5640.84,2896.45,1565.29,1000.6,,4,3.074750633,3.334875777,3.751343781,3.461866036,3.194594811,3.000260499
8,1269.8,4844.99,8926.41,3332.4,3092.48,2630.22,,8,3.103735323,3.685292885,3.950676831,3.522757126,3.4903069,3.419992076
16,2791.13,2387.37,10661.33,3598.63,2185.49,1600.38,,16,3.445780065,3.377919732,4.027811386,3.556137196,3.339548824,3.204223115
32,2697.5,7206.03,26644.42,8651.34,5277.97,2244.03,,32,3.430961453,3.857696066,4.425606271,3.93708338,3.722466917,3.351028659
64,4695.79,14224.83,44567.47,16948.71,13130.58,4432.47,,64,3.671708667,4.153047085,4.649017981,4.229136649,4.11828391,3.646645805
128,6811.05,16585.87,226889.14,29002.62,19540.85,5181.45,,128,3.833214068,4.219738257,5.355813709,4.462437232,4.290943451,3.714451312
256,11038.65,23508.14,329736.65,28961.65,43540.48,5187.3,,256,4.042915963,4.371218268,5.518167221,4.461823301,4.638893212,3.714941366
512,9842.16,42765.19,1831701.34,61009.94,106943.55,4710.42,,512,3.993090421,4.631090406,6.262854663,4.785400598,5.029154596,3.673059632
1024,18838.72,94763.84,7254984.72,137724.95,235657.43,10082,,1024,4.275051391,4.976642651,6.860636502,5.139012623,5.372281137,4.003546693
2048,38443.87,219112.48,1.92E+07,267111.75,512672.66,20090.87,,2048,4.5848271,5.340667114,7.282843671,5.426692993,5.709840158,4.302998744
4096,70164.45,486440.78,7.90E+07,697446.11,1154939.94,38402.95,,4096,4.846117125,5.687029976,7.897537817,5.843510656,6.0625594,4.584364587
8192,149305.03,1230671.94,3.17E+08,1458737.23,2685582.34,80155.76,,8192,5.174074439,6.090142299,8.501428896,6.163977067,6.429038472,4.903934736
16384,299195.12,2858272.64,1.24E+09,2825495.84,5593946.09,151194.99,,16384,5.475954506,6.456103652,9.093256062,6.451094672,6.747718277,5.179537401
32768,583077.13,6573776.2,5.13E+09,6903246.7,1.43E+07,304765.75,,32768,5.765726007,6.817814915,9.710299052,6.839053394,7.154374088,5.483966159
65536,1858284.31,1.89E+07,2.13E+10,1.94E+07,3.85E+07,640807.28,,65536,6.26911216,7.276069597,10.32876973,7.288847436,7.586001002,5.806727437
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
